YEAR_MONTH,BNF_CHAPTER_CODE,BNF_CHAPTER,ITEMS,TOTAL_QUANTITY,NIC
202207,8,Malignant Disease and Immunosuppression,378676.0,15403003.0,13728524.2
202207,9,Nutrition and Blood,5341120.0,2733068422.9,62793630.36
202208,1,Gastro-Intestinal System,9193077.0,705341203.0,54672899.12
202208,10,Musculoskeletal and Joint Diseases,2586317.0,169844210.0,11441709.09
202208,11,Eye,1255815.0,21741994.5,13416703.16
202208,12,"Ear, Nose and Oropharynx",915661.0,21224062.2,6221373.89
202208,13,Skin,2115161.0,375165078.0,21014044.08
202208,14,Immunological Products and Vaccines,105523.0,106874.0,1495465.68
202208,15,Anaesthesia,126229.0,1969968.0,1854817.02
202208,18,Preparations used in Diagnosis,9.0,6600.0,1155.0
202208,19,Other Drugs and Preparations,102281.0,50868629.0,2098291.01
202208,2,Cardiovascular System,29040492.0,1027558857.0,139544663.19
202208,20,Dressings,505849.0,13208726.8,14904888.18
202208,21,Appliances,2905231.0,510697955.5,51262208.5
